"Game","Team","","TOI","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SH%","SV%","PDO"
" 2023-10-11 - Oilers 1, Canucks 8","Edmonton Oilers","Limited ReportFull Report","60","27","32","45.76","1","8","11.11","2.97","3.83","43.73","3.70","75.00","0.787"
" 2023-10-14 - Canucks 4, Oilers 3","Edmonton Oilers","Limited ReportFull Report","60","40","16","71.43","3","4","42.86","5.16","2.07","71.31","7.50","75.00","0.825"
" 2023-10-17 - Oilers 6, Predators 1","Edmonton Oilers","Limited ReportFull Report","60","30","44","40.54","6","1","85.71","3.06","3.07","49.91","20.00","97.73","1.177"
" 2023-10-19 - Oilers 1, Flyers 4","Edmonton Oilers","Limited ReportFull Report","60","23","32","41.82","1","4","20.00","2.07","2.79","42.59","4.35","87.50","0.918"
" 2023-10-21 - Jets 3, Oilers 2","Edmonton Oilers","Limited ReportFull Report","63.883333333333","40","27","59.70","2","3","40.00","3.67","2.33","61.20","5.00","88.89","0.939"
" 2023-10-24 - Oilers 4, Wild 7","Edmonton Oilers","Limited ReportFull Report","60","28","32","46.67","4","7","36.36","2.92","4.53","39.19","14.29","78.13","0.924"
" 2023-10-26 - Rangers 3, Oilers 0","Edmonton Oilers","Limited ReportFull Report","60","29","32","47.54","0","3","0.00","3.75","2.81","57.18","0.00","90.63","0.906"
" 2023-10-29 - Flames 2, Oilers 5","Edmonton Oilers","Limited ReportFull Report","60","33","26","55.93","5","2","71.43","4.57","3.1","59.60","15.15","92.31","1.075"
" 2023-11-02 - Stars 4, Oilers 3","Edmonton Oilers","Limited ReportFull Report","60","49","27","64.47","3","4","42.86","5.35","2.5","68.12","6.12","85.19","0.913"
" 2023-11-04 - Predators 5, Oilers 2","Edmonton Oilers","Limited ReportFull Report","60","35","34","50.72","2","5","28.57","3.36","3.44","49.40","5.71","85.29","0.910"
" 2023-11-06 - Oilers 2, Canucks 6","Edmonton Oilers","Limited ReportFull Report","60","43","36","54.43","2","6","25.00","3.96","4.09","49.17","4.65","83.33","0.880"
" 2023-11-09 - Oilers 2, Sharks 3","Edmonton Oilers","Limited ReportFull Report","60","41","18","69.49","2","3","40.00","4.26","1.87","69.45","4.88","83.33","0.882"
" 2023-11-11 - Oilers 4, Kraken 1","Edmonton Oilers","Limited ReportFull Report","60","26","18","59.09","4","1","80.00","2.81","1.48","65.49","15.38","94.44","1.098"
" 2023-11-13 - Islanders 1, Oilers 4","Edmonton Oilers","Limited ReportFull Report","60","32","33","49.23","4","1","80.00","3.83","2.61","59.41","12.50","96.97","1.095"
" 2023-11-15 - Kraken 3, Oilers 4","Edmonton Oilers","Limited ReportFull Report","62.95","31","35","46.97","4","3","57.14","3.27","4.6","41.60","12.90","91.43","1.043"
" 2023-11-18 - Oilers 4, Lightning 6","Edmonton Oilers","Limited ReportFull Report","60","43","24","64.18","4","6","40.00","4.95","2.95","62.63","9.30","75.00","0.843"
" 2023-11-20 - Oilers 3, Panthers 5","Edmonton Oilers","Limited ReportFull Report","60","29","33","46.77","3","5","37.50","2.9","4.28","40.33","10.34","84.85","0.952"
" 2023-11-22 - Oilers 3, Hurricanes 6","Edmonton Oilers","Limited ReportFull Report","60","23","27","46.00","3","6","33.33","3.37","2.85","54.17","13.04","77.78","0.908"
" 2023-11-24 - Oilers 5, Capitals 0","Edmonton Oilers","Limited ReportFull Report","60","35","25","58.33","5","0","100.00","3.46","2.39","59.12","14.29","100.00","1.143"
